method,parameters,error
2,"(4, 2)",0.1880344657296832
1,6,0.035371242184449
3,"(2, 5)",0.008868141743550717
3,"(1, 1)",0.008738758219563447
5,"(1, 2)",0.008691477613431564
3,"(4, 4)",0.009292506110906526
2,"(5, 1)",0.21185471042231588
4,3,0.022349040922349336
2,"(2, 3)",0.18412158125329836
3,"(4, 5)",0.009587733616466173
5,"(1, 3)",0.00895292846882948
4,2,0.014431161103966738
2,"(2, 2)",0.0755574956904254
2,"(4, 3)",0.2714109749167561
3,"(2, 4)",0.008721908365012196
1,7,0.03954445570406081
2,"(3, 1)",0.09540659394947729
5,"(2, 5)",0.008829793831576243
2,"(5, 2)",0.2165078509752247
5,"(1, 1)",0.00870186181341625
2,"(1, 4)",0.0989831645634422
3,"(3, 5)",0.009047407357316363
2,"(4, 1)",0.23678778850906387
4,9,0.05086883327427768
3,"(5, 4)",0.009417228342818662
2,"(3, 3)",0.1477433465928509
3,"(1, 2)",0.008651356915437614
1,5,0.030699473301178132
3,"(5, 5)",0.009375307967446123
4,8,0.047960201451644154
2,"(3, 2)",0.13656505659009016
3,"(1, 3)",0.008861881762740588
1,4,0.024815723890137434
2,"(5, 3)",0.25902484530501335
4,1,0.0055467074629420065
5,"(2, 4)",0.008677449774968482
2,"(2, 1)",0.13249263915459095
2,"(1, 5)",0.14963121075535293
3,"(3, 4)",0.008853611914645496
1,8,0.04274341708958653
2,"(2, 4)",0.12260356922014821
3,"(3, 1)",0.0088607368921446
5,"(2, 1)",0.008686232847339827
4,4,0.0292487220021179
5,"(1, 5)",0.009651838349295892
3,"(4, 3)",0.009212497046149137
1,1,0.003030150209593166
3,"(2, 2)",0.008796014456062743
5,"(3, 2)",0.008796328511364792
2,"(4, 5)",0.2873822418555381
3,"(2, 3)",0.00893662818339722
2,"(4, 4)",0.2100366817192382
5,"(3, 3)",0.008852292289261654
3,"(5, 1)",0.00921162799082785
2,"(2, 5)",0.1471616827863375
1,9,0.045777990902579634
2,"(1, 1)",0.0030449570414827795
4,5,0.0352017260738938
3,"(4, 2)",0.00893414200795652
5,"(1, 4)",0.009012408751574719
3,"(2, 1)",0.008767700289000827
1,2,0.011212101477556193
2,"(3, 4)",0.160420705697156
3,"(1, 5)",0.009808600649943858
3,"(5, 3)",0.009320882468990566
5,"(3, 1)",0.008826709391410654
2,"(1, 3)",0.07869284668888006
3,"(3, 2)",0.008837537325853679
4,7,0.04442627983500085
5,"(2, 2)",0.00878725504556198
2,"(5, 5)",0.32548843182053255
2,"(1, 2)",0.058147346601829575
3,"(3, 3)",0.008833828297745707
3,"(4, 1)",0.00898680674119872
2,"(5, 4)",0.2459566968342083
4,6,0.04021238040562311
5,"(2, 3)",0.00898737306454215
1,3,0.018740999761458835
2,"(3, 5)",0.19834449774992255
3,"(5, 2)",0.00935967618608491
